258,-1,-1,-1
259,-1,-1,-1
260,-1,-1,-1
261,-1,-1,-1
262,-1,-1,-1
263,-1,-1,-1
264,-1,-1,-1
265,-1,-1,-1
266,-1,-1,-1
267,-1,-1,-1
268,-1,-1,-1
269,-1,-1,-1
270,-1,-1,-1
271,-1,-1,-1
272,-1,-1,-1
273,-1,-1,-1
274,-1,-1,-1
275,-1,-1,-1
276,-1,-1,-1
277,-1,-1,-1
278,-1,-1,-1
279,-1,-1,-1
280,-1,-1,-1
281,-1,-1,-1
282,-1,-1,-1
283,-1,-1,-1
284,-1,-1,-1
285,-1,-1,-1
286,-1,-1,-1
287,-1,-1,-1
288,-1,-1,-1
289,-1,-1,-1
290,-1,-1,-1
291,-1,-1,-1
292,-1,-1,-1
293,-1,-1,-1
294,-1,-1,-1
295,-1,-1,-1
296,-1,-1,-1
297,-1,-1,-1
298,-1,-1,-1
299,-1,-1,-1
300,-1,-1,-1
